Oracion original,Label Original,Puntaje negativo,Puntaje positivo,Inferencia,Tiempo de ejecucion
give a man a fish u feed him for the day teach him to fish u feed him for life buy him gm and u f k him over for good,0,0.0,0.112,Neutral,0.000255584716796875
the more i hear about this gm thing the more angry i get billions wasted more bullshit all for something like k employees and all the,0,0.336,0.077,Negativo,0.00029277801513671875
i own a gm car and it is junk as far as quality compared to a honda,0,0.0,0.0,Positive,0.0002129077911376953
sad day bankrupt gm,0,0.77,0.0,Negativo,0.0001780986785888672
is upset about the whole gm thing life as i know it is so screwed up,0,0.341,0.0,Negativo,0.0002434253692626953
whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs,0,0.281,0.0,Neutral,0.00031566619873046875
wftb joining a bit late my connection was down boo time warner,0,0.0,0.0,Positive,0.0002009868621826172
cox or time warner cox is cheaper and gets a b on dslreports tw is more expensive and gets a c,0,0.0,0.0,Positive,0.00021839141845703125
i am furious with time warner and their phone promotions,0,0.316,0.0,Negativo,0.00020003318786621094
just got home from chick fil a with the boys damn my internets down stupid time warner,0,0.303,0.0,Neutral,0.0002613067626953125
could time warner cable suck more no,0,0.519,0.0,Negativo,0.0001938343048095703
pissed at time warner for causin me to have slow internet problems,0,0.408,0.0,Negativo,0.00023627281188964844
ummm having some time warner problems,0,0.351,0.0,Negativo,0.000186920166015625
you guys see this why does time warner have to suck so much ass really wish i could get u verse at my apartment,0,0.233,0.104,Neutral,0.0003116130828857422
rt the upside to time warner unhelpful phone operators superslow on site service crap that s not an upside,0,0.133,0.0,Neutral,0.0003046989440917969
rt new time warner slogan time warner where we make you long for the days before cable,0,0.0,0.0,Positive,0.00022792816162109375
confirmed it s time warner s fault not facebook s that fb is taking about minutes to load so tempted to switch to verizon,0,0.119,0.0,Neutral,0.00029921531677246094
time warner epic fail,0,0.538,0.0,Negativo,0.00016498565673828125
i know how sad is that rt st day of hurricane season that s less scarey than govt taking over gm,0,0.245,0.0,Neutral,0.00027871131896972656
gm files bankruptcy not a good sign,0,0.325,0.0,Negativo,0.0001881122589111328
yankees won mets lost its a good day,1,0.178,0.512,Neutral,0.0001995563507080078
my dentist appt today was actually quite enjoyable,1,0.0,0.313,Neutral,0.0002009868621826172
i hate the effing dentist,0,0.552,0.0,Negativo,0.00015473365783691406
i hate going to the dentist,0,0.481,0.0,Negativo,0.00016760826110839844
i hate the dentist who invented them anyways,0,0.381,0.0,Negativo,0.00018215179443359375
this dentist s office is cold,0,0.0,0.0,Positive,0.0001590251922607422
just applied at safeway yeeeee,1,0.0,0.0,Positive,0.00015783309936523438
safeway place is a nightmare right now bumming,0,0.0,0.0,Positive,0.00017213821411132812
hate safeway select green tea icecream bought two cartons what a waste of money gt _ lt,0,0.316,0.102,Neutral,0.00037384033203125
nike rocks i m super grateful for what i ve done with them amp the european division of nike is beyond,1,0.0,0.301,Neutral,0.0002689361572265625
have you tried nike v addictive,1,0.0,0.0,Positive,0.00015878677368164062
the nike training club beta iphone app looks very interesting,1,0.0,0.25,Neutral,0.00021195411682128906
argghhhh why won t my jquery appear in safari bad safari,0,0.23,0.243,Neutral,0.00021457672119140625
i m ready to drop the pretenses i am forever in love with jquery and i want to marry it sorry ladies this nerd is jquery spokenfor js,1,0.177,0.253,Neutral,0.0003287792205810547
super investors a great weekend read here from warren buffet oldie but a goodie,1,0.0,0.333,Neutral,0.0002231597900390625
reading michael palin book the python years great book i also recommend warren buffet amp nelson mandela s bio,1,0.0,0.306,Neutral,0.0002586841583251953
i mean i m down with notre dame if i have to it s a good school i d be closer to dan i d enjoy it,1,0.0,0.289,Neutral,0.0002593994140625
i can t watch tv without a tivo and after all these years the time warner dvr still sucks,0,0.143,0.0,Neutral,0.00025010108947753906
i d say some sports writers are idiots for saying roger federer is one of the best ever in tennis roger federer is the best ever in tennis,1,0.0,0.259,Neutral,0.0003027915954589844
i still love my kindle but reading the new york times on it does not feel natural i miss the bloomingdale ads,0,0.111,0.178,Neutral,0.0002913475036621094
i love my kindle no more stacks of books to trip over on the way to the loo,1,0.103,0.196,Neutral,0.00024366378784179688
although today s keynote rocked for every great announcement at amp t shit on us just a little bit more,0,0.159,0.181,Neutral,0.00026798248291015625
its not so much my obsession with cell phones but the iphone i m a slave to at amp t forever because of it,0,0.088,0.0,Neutral,0.0002849102020263672
fuzzball is more fun than at amp t p,0,0.0,0.375,Neutral,0.0001990795135498047
today is a good day to dislike at amp t vote out of office indeed,0,0.158,0.176,Neutral,0.00023031234741210938
got my wave sandbox invite extra excited too bad i have class now but i ll play with it soon enough io wave,1,0.089,0.241,Neutral,0.0003075599670410156
looks like summize has gone down too many tweets from wwdc perhaps,0,0.0,0.185,Neutral,0.00021696090698242188
thanks so much from one of your very happy kindle winners i was so surprised fabulous thank you best kathleen,1,0.0,0.658,Neutral,0.0002963542938232422
man i kinda dislike apple right now case in point the iphone gs wish there was a video recorder app please,0,0.099,0.215,Neutral,0.0002841949462890625
i have a kindle amp sony prs like it physical device feels good font is nice pg turns are snappy enuf ui a little klunky,1,0.0,0.301,Neutral,0.000316619873046875
the kindle seems the best ereader but will it work in the uk and where can i get one,1,0.0,0.133,Neutral,0.0002567768096923828
i have a google addiction thank you for pointing that out hahaha,1,0.0,0.433,Neutral,0.00022482872009277344
dearest you rich bastards the visa card you sent me doesn t work why screw a little guy like me,0,0.194,0.339,Neutral,0.00026297569274902344
excited about seeing bobby flay and guy fieri tomorrow at the great american food amp music fest,1,0.0,0.302,Neutral,0.0002579689025878906
gonna go see bobby flay moro at shoreline eat and drink gonna be good,1,0.0,0.182,Neutral,0.00023102760314941406
can t wait for the great american food and music festival at shoreline tomorrow mmm katz pastrami and bobby flay yes please,1,0.0,0.42,Neutral,0.00030684471130371094
my dad was in ny for a day we ate at mesa grill last night and met bobby flay so much fun except i completely lost my voice today,1,0.083,0.115,Neutral,0.0003304481506347656
fighting with latex again,0,0.455,0.0,Negativo,0.00016427040100097656
we love you too and don t want you to die latex the devil,0,0.364,0.241,Neutral,0.00024080276489257812
hours hours of inkscape crashing normally solid as a rock hours of latex complaining at the slightest thing i can t take any more,0,0.08,0.071,Neutral,0.00028634071350097656
shit s hitting the fan in iran craziness indeed iranelection,0,0.428,0.159,Neutral,0.00022101402282714844
monday already iran may implode kitchen is a disaster seems happy had a nice weekend and is great whoop,0,0.148,0.383,Neutral,0.0002803802490234375
getting ready to test out some burger receipes this weekend bobby flay has some great receipes to try thanks bobby,1,0.0,0.358,Neutral,0.0002701282501220703
i lam so in love with bobby flay he is my favorite rt you need a place in phoenix we have great peppers here,1,0.0,0.379,Neutral,0.0003139972686767578
i just created my first latex file from scratch that didn t work out very well see it s a great time waster,0,0.0,0.347,Neutral,0.0002827644348144531
using linux and loving it so much nicer than windows looking forward to using the wysiwyg latex editor,1,0.0,0.307,Neutral,0.0002734661102294922
after using latex a lot any other typeset mathematics just looks hideous,1,0.0,0.0,Positive,0.0002002716064453125
on that note i hate word i hate pages i hate latex there i said it i hate latex all you texn rds can come kill me now,0,0.52,0.0,Negativo,0.0003058910369873047
ahhh back in a real text editing environment i lt latex,1,0.0,0.0,Positive,0.00018453598022460938
trouble in iran i see hmm iran iran so far away flockofseagullsweregeopoliticallycorrect,0,0.213,0.0,Neutral,0.00020170211791992188
reading the tweets coming out of iran the whole thing is terrifying and incredibly sad,0,0.353,0.0,Negativo,0.0002510547637939453
